geometry
"POLYGON ((-176049.1054947359 -25314.01857464745, -173050.0149611215 -25314.01857464745, -173050.0149611215 -28322.48564732509, -176049.1054947359 -28322.48564732509, -176049.1054947359 -25314.01857464745))"
"POLYGON ((-173050.0149611215 -25314.01857464745, -170050.9244275072 -25314.01857464745, -170050.9244275072 -28322.48564732509, -173050.0149611215 -28322.48564732509, -173050.0149611215 -25314.01857464745))"
"POLYGON ((-170050.9244275072 -25314.01857464745, -167051.8338938928 -25314.01857464745, -167051.8338938928 -28322.48564732509, -170050.9244275072 -28322.48564732509, -170050.9244275072 -25314.01857464745))"
"POLYGON ((-167051.8338938928 -25314.01857464745, -164052.7433602784 -25314.01857464745, -164052.7433602784 -28322.48564732509, -167051.8338938928 -28322.48564732509, -167051.8338938928 -25314.01857464745))"
"POLYGON ((-164052.7433602784 -25314.01857464745, -161053.6528266641 -25314.01857464745, -161053.6528266641 -28322.48564732509, -164052.7433602784 -28322.48564732509, -164052.7433602784 -25314.01857464745))"
"POLYGON ((-176049.1054947359 -22305.5515019698, -173050.0149611215 -22305.5515019698, -173050.0149611215 -25314.01857464745, -176049.1054947359 -25314.01857464745, -176049.1054947359 -22305.5515019698))"
"POLYGON ((-173050.0149611215 -22305.5515019698, -170050.9244275072 -22305.5515019698, -170050.9244275072 -25314.01857464745, -173050.0149611215 -25314.01857464745, -173050.0149611215 -22305.5515019698))"
"POLYGON ((-170050.9244275072 -22305.5515019698, -167051.8338938928 -22305.5515019698, -167051.8338938928 -25314.01857464745, -170050.9244275072 -25314.01857464745, -170050.9244275072 -22305.5515019698))"
"POLYGON ((-167051.8338938928 -22305.5515019698, -164052.7433602784 -22305.5515019698, -164052.7433602784 -25314.01857464745, -167051.8338938928 -25314.01857464745, -167051.8338938928 -22305.5515019698))"
"POLYGON ((-164052.7433602784 -22305.5515019698, -161053.6528266641 -22305.5515019698, -161053.6528266641 -25314.01857464745, -164052.7433602784 -25314.01857464745, -164052.7433602784 -22305.5515019698))"
"POLYGON ((-161053.6528266641 -22305.5515019698, -158054.5622930497 -22305.5515019698, -158054.5622930497 -25314.01857464745, -161053.6528266641 -25314.01857464745, -161053.6528266641 -22305.5515019698))"
"POLYGON ((-158054.5622930497 -22305.5515019698, -155055.4717594353 -22305.5515019698, -155055.4717594353 -25314.01857464745, -158054.5622930497 -25314.01857464745, -158054.5622930497 -22305.5515019698))"
"POLYGON ((-155055.4717594353 -22305.5515019698, -152056.381225821 -22305.5515019698, -152056.381225821 -25314.01857464745, -155055.4717594353 -25314.01857464745, -155055.4717594353 -22305.5515019698))"
"POLYGON ((-152056.381225821 -22305.5515019698, -149057.2906922066 -22305.5515019698, -149057.2906922066 -25314.01857464745, -152056.381225821 -25314.01857464745, -152056.381225821 -22305.5515019698))"
"POLYGON ((-182047.2865619646 -19297.08442929216, -179048.1960283503 -19297.08442929216, -179048.1960283503 -22305.5515019698, -182047.2865619646 -22305.5515019698, -182047.2865619646 -19297.08442929216))"
"POLYGON ((-179048.1960283503 -19297.08442929216, -176049.1054947359 -19297.08442929216, -176049.1054947359 -22305.5515019698, -179048.1960283503 -22305.5515019698, -179048.1960283503 -19297.08442929216))"
"POLYGON ((-176049.1054947359 -19297.08442929216, -173050.0149611215 -19297.08442929216, -173050.0149611215 -22305.5515019698, -176049.1054947359 -22305.5515019698, -176049.1054947359 -19297.08442929216))"
"POLYGON ((-173050.0149611215 -19297.08442929216, -170050.9244275072 -19297.08442929216, -170050.9244275072 -22305.5515019698, -173050.0149611215 -22305.5515019698, -173050.0149611215 -19297.08442929216))"
"POLYGON ((-170050.9244275072 -19297.08442929216, -167051.8338938928 -19297.08442929216, -167051.8338938928 -22305.5515019698, -170050.9244275072 -22305.5515019698, -170050.9244275072 -19297.08442929216))"
"POLYGON ((-167051.8338938928 -19297.08442929216, -164052.7433602784 -19297.08442929216, -164052.7433602784 -22305.5515019698, -167051.8338938928 -22305.5515019698, -167051.8338938928 -19297.08442929216))"
"POLYGON ((-164052.7433602784 -19297.08442929216, -161053.6528266641 -19297.08442929216, -161053.6528266641 -22305.5515019698, -164052.7433602784 -22305.5515019698, -164052.7433602784 -19297.08442929216))"
"POLYGON ((-161053.6528266641 -19297.08442929216, -158054.5622930497 -19297.08442929216, -158054.5622930497 -22305.5515019698, -161053.6528266641 -22305.5515019698, -161053.6528266641 -19297.08442929216))"
"POLYGON ((-158054.5622930497 -19297.08442929216, -155055.4717594353 -19297.08442929216, -155055.4717594353 -22305.5515019698, -158054.5622930497 -22305.5515019698, -158054.5622930497 -19297.08442929216))"
"POLYGON ((-155055.4717594353 -19297.08442929216, -152056.381225821 -19297.08442929216, -152056.381225821 -22305.5515019698, -155055.4717594353 -22305.5515019698, -155055.4717594353 -19297.08442929216))"
"POLYGON ((-152056.381225821 -19297.08442929216, -149057.2906922066 -19297.08442929216, -149057.2906922066 -22305.5515019698, -152056.381225821 -22305.5515019698, -152056.381225821 -19297.08442929216))"
